
 74,68   5,00   373,41
 76,57   5,00   382,86
 90,72   5,00   453,60
 88,45   5,00   442,26
 91,75   5,00   458,73
 87,70   5,00   438,48
 85,00   5,00   424,98
 80,78   5,00   403,92
 79,87   5,00   399,33
 80,46   5,00   402,30
 93,64   5,00   468,18
 95,20   5,00   476,01
 99,09   5,00   495,45
 98,44   5,00   492,21
 96,12   5,00   480,60
 89,21   5,00   446,04
 82,84   5,00   414,18
 82,03   5,00   410,13
 83,65   5,00   418,23
 81,76   5,00   408,78
 82,84   5,00   414,18
 81,76   5,00   408,78
 81,70   5,00   408,51
 74,36   5,00   371,79
 70,96   5,00   354,78
 81,22   5,00   406,08
 80,51   5,00   402,57
 82,89   5,00   414,45
 82,19   5,00   410,94
 89,59   5,00   447,93
 93,85   5,00   469,26
 87,26   5,00   436,32
 76,09   5,00   380,43
 70,96   5,00   354,78
 75,38   5,00   376,92
 78,03   5,00   390,15
 79,33   5,00   396,63
 77,76   5,00   388,80
 72,41   5,00   362,07
 72,63   5,00   363,15
 79,27   5,00   396,36
 66,10   6,00   396,63
 79,78   6,00   478,71
 85,99   6,00   515,97
 75,87   6,00   455,22
 75,01   6,00   450,09
 62,64   6,00   375,84
 67,59   6,00   405,54
 58,23   6,00   349,38
 60,03   6,00   360,18
 64,93   6,00   389,61
 70,06   6,00   420,39
 73,71   6,00   442,26
 64,62   6,00   387,72
 65,70   6,00   394,20
 63,63   6,00   381,78
 73,98   6,00   443,88
 65,74   6,00   394,47
 73,39   6,00   440,37
 66,64   6,00   399,87
 59,49   6,00   356,94
 65,34   6,00   392,04
 69,93   6,00   419,58
 76,45   6,00   458,73
 71,68   6,00   430,11
 71,23   6,00   427,41
 68,85   6,00   413,10
 65,47   6,00   392,85
 65,43   6,00   392,58
 59,53   6,00   357,21
 61,87   6,00   371,25
 57,28   6,00   343,71
 61,20   6,00   367,20
 71,41   6,00   428,49
 70,38   6,00   422,28
 72,27   6,00   433,62
 73,75   6,00   442,53
 70,06   6,00   420,39
 75,19   6,00   451,17
 74,92   6,00   449,55
 69,16   6,00   414,99
 62,46   6,00   374,76
 55,04   7,00   385,29
 55,85   7,00   390,96
