
115,34   5,00   576,72
113,35   5,00   566,73
113,18   5,00   565,92
114,91   5,00   574,56
116,48   5,00   582,39
115,29   5,00   576,45
114,97   5,00   574,83
113,62   5,00   568,08
115,56   5,00   577,80
116,05   5,00   580,23
116,53   5,00   582,66
113,40   5,00   567,00
116,75   5,00   583,74
114,64   5,00   573,21
113,24   5,00   566,19
117,61   5,00   588,06
116,64   5,00   583,20
114,05   5,00   570,24
114,16   5,00   570,78
113,56   5,00   567,81
118,10   5,00   590,49
116,15   5,00   580,77
116,59   5,00   582,93
115,45   5,00   577,26
114,97   5,00   574,83
118,37   5,00   591,84
116,91   5,00   584,55
115,24   5,00   576,18
115,40   5,00   576,99
116,32   5,00   581,58
115,24   5,00   576,18
116,96   5,00   584,82
117,02   5,00   585,09
114,86   5,00   574,29
116,42   5,00   582,12
117,56   5,00   587,79
115,83   5,00   579,15
116,37   5,00   581,85
115,56   5,00   577,80
113,35   5,00   566,73
115,29   5,00   576,45
 80,77   6,00   484,65
 84,78   6,00   508,68
 91,08   6,00   546,48
 86,17   6,00   517,05
 83,61   6,00   501,66
 75,55   6,00   453,33
 82,71   6,00   496,26
 82,39   6,00   494,37
 82,21   6,00   493,29
 87,52   6,00   525,15
 99,81   6,00   598,86
 97,78   6,00   586,71
104,13   6,00   624,78
 97,33   6,00   584,01
 93,24   6,00   559,44
 93,60   6,00   561,60
 96,21   6,00   577,26
 91,75   6,00   550,53
 84,73   6,00   508,41
 86,53   6,00   519,21
 89,77   6,00   538,65
 91,98   6,00   551,88
 85,90   6,00   515,43
 83,65   6,00   501,93
 84,82   6,00   508,95
 85,41   6,00   512,46
 92,70   6,00   556,20
 91,35   6,00   548,10
 81,72   6,00   490,32
 87,97   6,00   527,85
 94,14   6,00   564,84
 92,97   6,00   557,82
 92,43   6,00   554,58
 94,81   6,00   568,89
 94,68   6,00   568,08
 85,32   6,00   511,92
 86,08   6,00   516,51
 95,13   6,00   570,78
 98,01   6,00   588,06
 99,00   6,00   594,00
 93,87   6,00   563,22
 74,71   7,00   522,99
 75,95   7,00   531,63
 79,53   7,00   556,74
 74,94   7,00   524,61
 76,06   7,00   532,44
 74,21   7,00   519,48
 71,32   7,00   499,23
 70,01   7,00   490,05
 73,40   7,00   513,81
 74,56   7,00   521,91
 67,62   7,00   473,31
 67,35   7,00   471,42
 71,51   7,00   500,58
 69,78   7,00   488,43
 71,59   7,00   501,12
 69,39   7,00   485,73
 78,96   7,00   552,69
 79,53   7,00   556,74
 77,49   7,00   542,43
 76,64   7,00   536,49
 85,78   7,00   600,48
 86,67   7,00   606,69
 80,61   7,00   564,30
 77,80   7,00   544,59
 71,78   7,00   502,47
 72,36   7,00   506,52
 77,53   7,00   542,70
 74,83   7,00   523,80
 75,14   7,00   525,96
 76,41   7,00   534,87
 72,13   7,00   504,90
 79,84   7,00   558,90
 71,36   7,00   499,50
 65,38   7,00   457,65
 84,28   7,00   589,95
 90,53   7,00   633,69
 83,82   7,00   586,71
 75,75   7,00   530,28
 75,06   7,00   525,42
 79,42   7,00   555,93
 79,19   7,00   554,31
 62,20   8,00   497,61
 68,44   8,00   547,56
 63,58   8,00   508,68
 64,26   8,00   514,08
 61,05   8,00   488,43
 67,67   8,00   541,35
 68,75   8,00   549,99
 70,57   8,00   564,57
 65,95   8,00   527,58
 65,20   8,00   521,64
 65,37   8,00   522,99
 73,34   8,00   586,71
 70,57   8,00   564,57
 67,43   8,00   539,46
 56,13   8,00   449,01
 66,15   8,00   529,20
 60,99   8,00   487,89
 66,39   8,00   531,09
 64,97   8,00   519,75
 67,47   8,00   539,73
 67,47   8,00   539,73
 60,07   8,00   480,60
 64,02   8,00   512,19
 61,05   8,00   488,43
 68,28   8,00   546,21
 61,32   8,00   490,59
 61,26   8,00   490,05
 61,26   8,00   490,05
 65,04   8,00   520,29
 67,16   8,00   537,30
 70,30   8,00   562,41
 66,72   8,00   533,79
 76,24   8,00   609,93
 76,81   8,00   614,52
 71,28   8,00   570,24
 73,88   8,00   591,03
 72,09   8,00   576,72
 63,42   8,00   507,33
 68,78   8,00   550,26
 65,41   8,00   523,26
 62,37   8,00   498,96
 58,11   9,00   522,99
 62,28   9,00   560,52
 55,26   9,00   497,34
 61,56   9,00   554,04
 59,04   9,00   531,36
 57,36   9,00   516,24
 55,05   9,00   495,45
 65,73   9,00   591,57
 64,02   9,00   576,18
 64,02   9,00   576,18
 53,85   9,00   484,65
 54,09   9,00   486,81
 55,44   9,00   498,96
 58,50   9,00   526,50
 53,31   9,00   479,79
 55,14   9,00   496,26
 54,99   9,00   494,91
 54,12   9,00   487,08
 61,23   9,00   551,07
 58,05   9,00   522,45
 63,57   9,00   572,13
 58,26   9,00   524,34
 58,68   9,00   528,12
 62,25   9,00   560,25
 59,22   9,00   532,98
 70,11   9,00   630,99
 58,47   9,00   526,23
 61,23   9,00   551,07
 51,96   9,00   467,64
 64,62   9,00   581,58
 57,21   9,00   514,89
 56,52   9,00   508,68
 70,83   9,00   637,47
 63,51   9,00   571,59
 60,63   9,00   545,67
 58,08   9,00   522,72
 55,26   9,00   497,34
 59,07   9,00   531,63
 56,28   9,00   506,52
 61,17   9,00   550,53
 58,02   9,00   522,18
 55,57  10,00   555,66
 48,44  10,00   484,38
 49,22  10,00   492,21
 52,22  10,00   522,18
 58,54  10,00   585,36
 49,46  10,00   494,64
 53,65  10,00   536,49
 53,84  10,00   538,38
 58,10  10,00   581,04
 52,19  10,00   521,91
 56,32  10,00   563,22
 49,36  10,00   493,56
 41,90  10,00   419,04
 45,87  10,00   458,73
 42,93  10,00   429,30
 48,49  10,00   484,92
 46,82  10,00   468,18
 44,36  10,00   443,61
 48,68  10,00   486,81
 49,30  10,00   493,02
 49,95  10,00   499,50
 50,68  10,00   506,79
 49,73  10,00   497,34
 48,82  10,00   488,16
 48,01  10,00   480,06
 51,95  10,00   519,48
 57,08  10,00   570,78
 53,62  10,00   536,22
 49,30  10,00   493,02
 54,19  10,00   541,89
 54,86  10,00   548,64
 56,35  10,00   563,49
 47,30  10,00   473,04
 51,92  10,00   519,21
 49,00  10,00   490,05
 47,22  10,00   472,23
 50,08  10,00   500,85
 51,79  10,00   517,86
 53,95  10,00   539,46
 54,11  10,00   541,08
 54,00  10,00   540,00
 40,48  11,00   445,23
 50,39  11,00   554,31
 47,18  11,00   518,94
 46,66  11,00   513,27
 47,91  11,00   527,04
 41,31  11,00   454,41
 52,43  11,00   576,72
 47,47  11,00   522,18
 45,02  11,00   495,18
 50,88  11,00   559,71
 50,49  11,00   555,39
 49,46  11,00   544,05
 49,26  11,00   541,89
 42,91  11,00   471,96
 46,02  11,00   506,25
 47,69  11,00   524,61
 45,56  11,00   501,12
 45,51  11,00   500,58
 45,29  11,00   498,15
 45,88  11,00   504,63
 49,19  11,00   541,08
 48,53  11,00   533,79
 44,67  11,00   491,40
 48,58  11,00   534,33
 45,63  11,00   501,93
 41,97  11,00   461,70
 45,38  11,00   499,23
 43,91  11,00   483,03
 45,58  11,00   501,39
 41,58  11,00   457,38
 47,23  11,00   519,48
 43,05  11,00   473,58
 45,73  11,00   503,01
 47,57  11,00   523,26
 49,80  11,00   547,83
 49,43  11,00   543,78
 45,58  11,00   501,39
 49,68  11,00   546,48
 48,72  11,00   535,95
 48,28  11,00   531,09
 45,16  11,00   496,80
 45,79  12,00   549,45
 46,19  12,00   554,31
 43,11  12,00   517,32
 39,15  12,00   469,80
 40,66  12,00   487,89
 36,63  12,00   439,56
